Escenario,Pares evaluados,Pares válidos,Descoordinados,% Descoord,TMT (negativo)
scenario_1,100,100,8,8.0,-0.62690
scenario_2,100,100,10,10.0,-13.95800
scenario_3,100,100,9,9.0,-14.24840
scenario_4,100,100,10,10.0,-1.63770
scenario_5,100,100,10,10.0,-14.42760
scenario_6,100,100,9,9.0,-14.41770
scenario_7,100,100,9,9.0,-14.75170
scenario_8,100,100,11,11.0,-14.48870
scenario_9,100,100,9,9.0,-13.34050
scenario_10,100,100,11,11.0,-14.77490
scenario_11,100,100,16,16.0,-15.22630
scenario_12,100,100,16,16.0,-14.73500
scenario_13,100,100,14,14.0,-14.89950
scenario_14,100,100,14,14.0,-14.68040
scenario_15,100,100,17,17.0,-13.57560
scenario_16,100,100,11,11.0,-13.85890
scenario_17,100,100,15,15.0,-14.97120
scenario_18,100,100,13,13.0,-14.76560
scenario_19,100,100,11,11.0,-15.12750
scenario_20,100,100,9,9.0,-14.36010
scenario_21,100,100,6,6.0,-0.82330
scenario_22,100,100,3,3.0,-0.57730
scenario_23,100,100,4,4.0,-0.68650
scenario_24,100,100,4,4.0,-1.27490
scenario_25,100,100,4,4.0,-1.21700
scenario_26,100,100,4,4.0,-0.90310
scenario_27,100,100,3,3.0,-0.39740
scenario_28,100,100,8,8.0,-0.55950
scenario_29,100,100,5,5.0,-1.81100
scenario_30,100,100,5,5.0,-0.85220
scenario_31,100,100,6,6.0,-1.25500
scenario_32,100,100,2,2.0,-0.39210
scenario_33,100,100,7,7.0,-0.62310
scenario_34,100,100,3,3.0,-0.70840
scenario_35,100,100,4,4.0,-0.37680
scenario_36,100,100,4,4.0,-1.21780
scenario_37,100,100,9,9.0,-14.18980
scenario_38,100,100,9,9.0,-14.06570
scenario_39,100,100,9,9.0,-15.06050
scenario_40,100,100,24,24.0,-15.79620
scenario_41,100,100,26,26.0,-16.14070
scenario_42,100,100,22,22.0,-15.04000
scenario_43,100,100,18,18.0,-15.09600
scenario_44,100,100,16,16.0,-14.92880
scenario_45,100,100,23,23.0,-14.66430
scenario_46,100,100,19,19.0,-14.73290
scenario_47,100,100,23,23.0,-14.65400
scenario_48,100,100,20,20.0,-14.97160
scenario_49,100,100,23,23.0,-15.67650
scenario_50,100,100,9,9.0,-15.36470
scenario_51,100,100,9,9.0,-15.30350
scenario_52,100,100,9,9.0,-15.42260
scenario_53,100,100,4,4.0,-0.51970
scenario_54,100,100,5,5.0,-0.69250
scenario_55,100,100,4,4.0,-0.96630
scenario_56,100,100,6,6.0,-0.76480
scenario_57,100,100,5,5.0,-0.80880
scenario_58,100,100,4,4.0,-0.63460
scenario_59,100,100,7,7.0,-0.56740
scenario_60,100,100,3,3.0,-0.40490
scenario_61,100,100,3,3.0,-0.27760
scenario_62,100,100,5,5.0,-0.32670
scenario_63,100,100,5,5.0,-0.65150
scenario_64,100,100,2,2.0,-0.27340
scenario_65,100,100,2,2.0,-0.17570
scenario_66,100,100,2,2.0,-0.58040
scenario_67,100,100,2,2.0,-0.53960
scenario_68,100,100,5,5.0,-0.34140
